,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2023-03-08 07:41:00,32864.2,32867.2,32864.2,32864.2,32867.8,32870.8,32867.8,32867.8,,,,,7
2023-03-08 07:42:00,32863.7,32865.2,32861.7,32864.7,32867.3,32868.8,32865.3,32868.3,,,,,18
2023-03-08 07:43:00,32864.2,32864.2,32856.7,32858.7,32867.8,32867.8,32860.3,32862.3,,,,,17
2023-03-08 07:44:00,32858.2,32859.2,32855.7,32856.2,32861.8,32862.8,32859.3,32859.8,,,,,18
2023-03-08 07:45:00,32856.7,32857.2,32852.7,32852.7,32860.3,32860.8,32856.3,32856.3,,,,,6
2023-03-08 07:46:00,32853.2,32853.2,32850.2,32851.7,32856.8,32856.8,32853.8,32855.3,,,,,23
2023-03-08 07:47:00,32851.2,32853.7,32850.2,32851.7,32854.8,32857.3,32853.8,32855.3,,,,,10
2023-03-08 07:48:00,32852.2,32854.2,32851.2,32852.7,32855.8,32857.8,32854.8,32856.3,,,,,9
2023-03-08 07:49:00,32853.2,32853.2,32850.2,32850.7,32856.8,32856.8,32853.8,32854.3,,,,,7
2023-03-08 07:50:00,32851.2,32852.2,32848.2,32849.7,32854.8,32855.8,32851.8,32853.3,,,,,13
2023-03-08 07:51:00,32849.2,32852.7,32849.2,32851.7,32852.8,32856.3,32852.8,32855.3,,,,,7
2023-03-08 07:52:00,32852.2,32855.2,32852.2,32854.2,32855.8,32858.8,32855.8,32857.8,,,,,14
2023-03-08 07:53:00,32853.7,32857.7,32853.2,32857.7,32857.3,32861.3,32856.8,32861.3,,,,,15
2023-03-08 07:54:00,32858.2,32860.2,32855.7,32858.7,32861.8,32863.8,32859.3,32862.3,,,,,39
2023-03-08 07:55:00,32859.2,32860.7,32858.2,32859.7,32862.8,32864.3,32861.8,32863.3,,,,,13
2023-03-08 07:56:00,32860.2,32860.2,32854.2,32856.2,32863.8,32863.8,32857.8,32859.8,,,,,16
2023-03-08 07:57:00,32856.7,32857.2,32850.7,32854.2,32860.3,32860.8,32854.3,32857.8,,,,,15
2023-03-08 07:58:00,32853.7,32854.7,32852.7,32853.2,32857.3,32858.3,32856.3,32856.8,,,,,38
2023-03-08 07:59:00,32851.7,32854.2,32850.7,32850.7,32855.3,32857.8,32854.3,32854.3,,,,,63
2023-03-08 08:00:00,32851.7,32868.7,32849.7,32866.2,32855.3,32872.3,32853.3,32869.8,,,,,177
2023-03-08 08:01:00,32866.7,32872.7,32861.7,32872.7,32870.3,32876.3,32865.3,32876.3,,,,,125
2023-03-08 08:02:00,32873.2,32875.2,32866.7,32872.7,32876.8,32878.8,32870.3,32876.3,,,,,116
2023-03-08 08:03:00,32873.2,32880.2,32872.7,32873.7,32876.8,32883.8,32876.3,32877.3,,,,,90
2023-03-08 08:04:00,32874.2,32874.2,32868.7,32868.7,32877.8,32877.8,32872.3,32872.3,,,,,54
2023-03-08 08:05:00,32869.2,32869.7,32860.7,32863.7,32872.8,32873.3,32864.3,32867.3,,,,,71
2023-03-08 08:06:00,32864.2,32866.7,32857.2,32864.2,32867.8,32870.3,32860.8,32867.8,,,,,38
2023-03-08 08:07:00,32863.7,32868.2,32861.2,32867.7,32867.3,32871.8,32864.8,32871.3,,,,,53
2023-03-08 08:08:00,32868.2,32868.7,32863.7,32868.2,32871.8,32872.3,32867.3,32871.8,,,,,46
2023-03-08 08:09:00,32868.7,32888.7,32868.2,32888.7,32872.3,32892.3,32871.8,32892.3,,,,,209
2023-03-08 08:10:00,32888.2,32889.7,32878.7,32878.7,32891.8,32893.3,32882.3,32882.3,,,,,188
2023-03-08 08:11:00,32879.2,32879.7,32865.7,32865.7,32882.8,32883.3,32869.3,32869.3,,,,,227
2023-03-08 08:12:00,32866.7,32867.7,32851.2,32851.7,32870.3,32871.3,32854.8,32855.3,,,,,91
2023-03-08 08:13:00,32852.2,32864.7,32849.2,32861.2,32855.8,32868.3,32852.8,32864.8,,,,,55
2023-03-08 08:14:00,32861.7,32866.7,32858.7,32864.7,32865.3,32870.3,32862.3,32868.3,,,,,34
2023-03-08 08:15:00,32865.2,32873.7,32865.2,32868.7,32868.8,32877.3,32868.8,32872.3,,,,,42
2023-03-08 08:16:00,32868.2,32869.7,32861.7,32866.7,32871.8,32873.3,32865.3,32870.3,,,,,20
2023-03-08 08:17:00,32866.2,32877.2,32864.2,32874.7,32869.8,32880.8,32867.8,32878.3,,,,,75
2023-03-08 08:18:00,32874.2,32882.2,32873.2,32881.7,32877.8,32885.8,32876.8,32885.3,,,,,48
2023-03-08 08:19:00,32881.2,32883.2,32877.7,32878.2,32884.8,32886.8,32881.3,32881.8,,,,,24
2023-03-08 08:20:00,32878.7,32880.2,32870.2,32877.7,32882.3,32883.8,32873.8,32881.3,,,,,36
2023-03-08 08:21:00,32877.2,32884.2,32875.7,32882.7,32880.8,32887.8,32879.3,32886.3,,,,,61
2023-03-08 08:22:00,32883.2,32888.7,32878.7,32879.7,32886.8,32892.3,32882.3,32883.3,,,,,48
2023-03-08 08:23:00,32880.2,32889.2,32879.7,32885.7,32883.8,32892.8,32883.3,32889.3,,,,,26
2023-03-08 08:24:00,32886.2,32891.2,32881.7,32882.2,32889.8,32894.8,32885.3,32885.8,,,,,45
2023-03-08 08:25:00,32881.7,32885.7,32880.7,32881.2,32885.3,32889.3,32884.3,32884.8,,,,,52
2023-03-08 08:26:00,32881.7,32882.2,32872.7,32873.2,32885.3,32885.8,32876.3,32876.8,,,,,5
2023-03-08 08:27:00,32872.7,32875.7,32866.7,32871.7,32876.3,32879.3,32870.3,32875.3,,,,,323
2023-03-08 08:28:00,32872.2,32884.7,32871.7,32881.7,32875.8,32888.3,32875.3,32885.3,,,,,47
2023-03-08 08:29:00,32882.2,32884.7,32878.7,32882.2,32885.8,32888.3,32882.3,32885.8,,,,,254
2023-03-08 08:30:00,32881.7,32885.2,32879.2,32880.7,32885.3,32888.8,32882.8,32884.3,,,,,35
2023-03-08 08:31:00,32881.2,32890.2,32881.2,32888.7,32884.8,32893.8,32884.8,32892.3,,,,,30
2023-03-08 08:32:00,32888.2,32891.7,32886.7,32890.7,32891.8,32895.3,32890.3,32894.3,,,,,82
2023-03-08 08:33:00,32890.2,32891.7,32884.7,32885.7,32893.8,32895.3,32888.3,32889.3,,,,,46
2023-03-08 08:34:00,32885.2,32890.7,32884.7,32888.7,32888.8,32894.3,32888.3,32892.3,,,,,6
2023-03-08 08:35:00,32889.2,32894.2,32887.2,32892.7,32892.8,32897.8,32890.8,32896.3,,,,,61
2023-03-08 08:36:00,32892.2,32898.2,32891.7,32891.7,32895.8,32901.8,32895.3,32895.3,,,,,71
2023-03-08 08:37:00,32892.2,32897.2,32890.2,32896.7,32895.8,32900.8,32893.8,32900.3,,,,,15
2023-03-08 08:38:00,32896.2,32897.7,32890.2,32891.7,32899.8,32901.3,32893.8,32895.3,,,,,19
2023-03-08 08:39:00,32891.2,32894.2,32887.2,32893.7,32894.8,32897.8,32890.8,32897.3,,,,,11
2023-03-08 08:40:00,32894.2,32898.2,32891.7,32891.7,32897.8,32901.8,32895.3,32895.3,,,,,24
2023-03-08 08:41:00,32891.2,32893.2,32888.2,32891.7,32894.8,32896.8,32891.8,32895.3,,,,,29
2023-03-08 08:42:00,32891.2,32892.2,32886.7,32889.7,32894.8,32895.8,32890.3,32893.3,,,,,36
2023-03-08 08:43:00,32889.2,32892.7,32886.2,32891.2,32892.8,32896.3,32889.8,32894.8,,,,,51
2023-03-08 08:44:00,32890.7,32894.2,32889.7,32893.7,32894.3,32897.8,32893.3,32897.3,,,,,20
2023-03-08 08:45:00,32894.2,32897.7,32893.7,32895.7,32897.8,32901.3,32897.3,32899.3,,,,,56
2023-03-08 08:46:00,32896.2,32896.7,32892.7,32893.7,32899.8,32900.3,32896.3,32897.3,,,,,40
2023-03-08 08:47:00,32894.2,32896.2,32889.2,32891.7,32897.8,32899.8,32892.8,32895.3,,,,,36
2023-03-08 08:48:00,32891.2,32891.7,32886.2,32887.7,32894.8,32895.3,32889.8,32891.3,,,,,44
2023-03-08 08:49:00,32888.2,32891.2,32886.2,32887.7,32891.8,32894.8,32889.8,32891.3,,,,,12
2023-03-08 08:50:00,32887.2,32887.7,32879.2,32879.2,32890.8,32891.3,32882.8,32882.8,,,,,56
2023-03-08 08:51:00,32879.7,32879.7,32871.2,32876.7,32883.3,32883.3,32874.8,32880.3,,,,,272
2023-03-08 08:52:00,32877.2,32877.7,32873.7,32873.7,32880.8,32881.3,32877.3,32877.3,,,,,26
2023-03-08 08:53:00,32874.2,32882.2,32871.7,32874.2,32877.8,32885.8,32875.3,32877.8,,,,,239
2023-03-08 08:54:00,32873.7,32874.2,32864.7,32866.7,32877.3,32877.8,32868.3,32870.3,,,,,32
2023-03-08 08:55:00,32866.2,32867.7,32864.2,32865.2,32869.8,32871.3,32867.8,32868.8,,,,,16
2023-03-08 08:56:00,32865.7,32872.7,32864.7,32869.7,32869.3,32876.3,32868.3,32873.3,,,,,42
2023-03-08 08:57:00,32870.2,32872.2,32860.7,32865.8,32873.8,32875.8,32864.3,32869.4,,,,,235
2023-03-08 08:58:00,32866.3,32871.3,32861.3,32862.3,32869.9,32874.9,32864.9,32865.9,,,,,54
2023-03-08 08:59:00,32862.8,32873.3,32862.8,32870.3,32866.4,32876.9,32866.4,32873.9,,,,,222
2023-03-08 09:00:00,32869.3,32873.3,32867.3,32871.3,32872.9,32876.9,32870.9,32874.9,,,,,47
2023-03-08 09:01:00,32871.8,32874.8,32870.8,32872.3,32875.4,32878.4,32874.4,32875.9,,,,,25
2023-03-08 09:02:00,32872.8,32876.8,32870.3,32870.3,32876.4,32880.4,32873.9,32873.9,,,,,46
2023-03-08 09:03:00,32870.8,32872.3,32863.3,32864.3,32874.4,32875.9,32866.9,32867.9,,,,,27
2023-03-08 09:04:00,32864.8,32867.3,32852.8,32865.3,32868.4,32870.9,32856.4,32868.9,,,,,315
2023-03-08 09:05:00,32865.8,32872.3,32865.3,32868.3,32869.4,32875.9,32868.9,32871.9,,,,,77
